handle,tweets,is_retweet,retweet_count,favorite_count,hour,month_f,day,year,text,hashtag
realDonaldTrump,hillary clinton points ahead,False,16770,31043,0,SEP,27,2016,hillary clinton points ahead,[]
HillaryClinton,hillary time show chip tonight debate back,False,1293,4038,0,SEP,27,2016,hillary time show chip tonight debate back,[]
HillaryClinton,matter donald says tonight debate already know real trump follow fa,False,6014,11459,23,SEP,26,2016,matter donald says tonight debate already know real trump follow fa,[]
HillaryClinton,hillary set take debate stage pm et watch,False,1231,3435,23,SEP,26,2016,hillary set take debate stage pm et watch,[]
realDonaldTrump,join official social media platforms tonight debate manages rapid,True,3532,8312,23,SEP,26,2016,join official social media platforms tonight debate manages rapid,[]
HillaryClinton,blame little john meat loaf fired gary busey kinds decisions would keep,False,5463,12162,22,SEP,26,2016,blame little john meat loaf fired gary busey kinds decisions would keep,[]
realDonaldTrump,team deplorables managing twitter account evenings debate tune,False,19836,57971,22,SEP,26,2016,team deplorables managing twitter account evenings debate tune,[]
HillaryClinton,study donald trump would raise taxes millions middle class families,True,1505,1763,22,SEP,26,2016,study donald trump would raise taxes millions middle class families,[]
HillaryClinton,questions trump still needs answer,False,1747,2989,21,SEP,26,2016,questions trump still needs answer,[]
HillaryClinton,watch watch tonight debate,False,5088,9479,20,SEP,26,2016,watch watch tonight debate,[]
HillaryClinton,trump told outright lies last week keep honest tonight debate follow get th,False,10152,18575,19,SEP,26,2016,trump told outright lies last week keep honest tonight debate follow get th,[]
HillaryClinton,presidents role models generations children example want,False,1607,3601,19,SEP,26,2016,presidents role models generations children example want,[]
HillaryClinton,hillary clinton billion plan stop heroin epidemic donald trump slogans,True,1218,2365,18,SEP,26,2016,hillary clinton billion plan stop heroin epidemic donald trump slogans,[]
HillaryClinton,headlines trump lies one week campaign imagine four years presidency,False,3653,6195,18,SEP,26,2016,headlines trump lies one week campaign imagine four years presidency,[]
HillaryClinton,everything need know watching tonight debate,False,2070,3514,17,SEP,26,2016,everything need know watching tonight debate,[]
HillaryClinton,tonight hillary debate trump first time follow make sure held accountable facts,False,2967,6929,16,SEP,26,2016,tonight hillary debate trump first time follow make sure held accountable facts,[]
realDonaldTrump,showing surging camp defense lowering expectations going,True,7925,18329,16,SEP,26,2016,showing surging camp defense lowering expectations going,[]
HillaryClinton,reminder heading tonight debate,False,4144,8868,16,SEP,26,2016,reminder heading tonight debate,[]
HillaryClinton,donald trump man dwells bigotry bluster false promises,False,2638,5098,15,SEP,26,2016,donald trump man dwells bigotry bluster false promises,[]
HillaryClinton,job takes maturity compassion wisdom one candidate takes,True,2967,7022,15,SEP,26,2016,job takes maturity compassion wisdom one candidate takes,[]
HillaryClinton,daughters deserve better,False,7164,14549,14,SEP,26,2016,daughters deserve better,[]
HillaryClinton,single living president endorsed donald trump,False,5330,9552,13,SEP,26,2016,single living president endorsed donald trump,[]
HillaryClinton,trump win tonight debate lying american people,False,6678,11110,12,SEP,26,2016,trump win tonight debate lying american people,[]
HillaryClinton,rt got hillary back tonight,False,28185,29457,12,SEP,26,2016,rt got hillary back tonight,[]
realDonaldTrump,new national bloomberg poll released thank join movement,False,11472,28638,12,SEP,26,2016,new national bloomberg poll released thank join movement,[]
HillaryClinton,come together problem solve divide heal,False,3467,8058,1,SEP,26,2016,come together problem solve divide heal,[]
realDonaldTrump,really sad news great arnold palmer king died one like true champion truly missed,False,17061,60847,1,SEP,26,2016,really sad news great arnold palmer king died one like true champion truly missed,[]
HillaryClinton,today sacrifices gold star families weigh heavier mind thank fight get care amp benefits deserve h,False,2619,9128,0,SEP,26,2016,today sacrifices gold star families weigh heavier mind thank fight get care amp benefits deserve h,[]
realDonaldTrump,five people killed washington state middle eastern immigrant many people died weekend ohio drug overdoses n c riots,False,11289,29909,0,SEP,26,2016,five people killed washington state middle eastern immigrant many people died weekend ohio drug overdoses n c riots,[]
HillaryClinton,years ago brave students integrated central high school changing course history let recommit fi,False,6422,18298,22,SEP,25,2016,years ago brave students integrated central high school changing course history let recommit fi,[]
HillaryClinton,let send donald trump world clear message,False,3904,8583,22,SEP,25,2016,let send donald trump world clear message,[]
HillaryClinton,imagine donald trump sitting situation room making life death decisions behalf united states,False,10237,16475,21,SEP,25,2016,imagine donald trump sitting situation room making life death decisions behalf united states,[]
HillaryClinton,nyt editorial board says donald trump president,True,4288,5959,20,SEP,25,2016,nyt editorial board says donald trump president,[]
HillaryClinton,take trump ready responsibility president,True,7563,12670,20,SEP,25,2016,take trump ready responsibility president,[]
HillaryClinton,hillary one qualified people ever run office easily earns endorsement,False,2735,6706,19,SEP,25,2016,hillary one qualified people ever run office easily earns endorsement,[]
HillaryClinton,veterans families deserve president disrespect disparage sacrifices,False,3927,8328,19,SEP,25,2016,veterans families deserve president disrespect disparage sacrifices,[]
realDonaldTrump,readout meeting israeli prime minister benjamin netanyahu,False,11555,30493,18,SEP,25,2016,readout meeting israeli prime minister benjamin netanyahu,[]
HillaryClinton,ways hillary policies would help daily life,False,1563,3129,18,SEP,25,2016,ways hillary policies would help daily life,[]
HillaryClinton,war hero gold star parents want know backing president,True,1516,2897,17,SEP,25,2016,war hero gold star parents want know backing president,[]
HillaryClinton,trump words best evidence fit president,True,2620,4385,16,SEP,25,2016,trump words best evidence fit president,[]
HillaryClinton,gold star families made sacrifices us even fathom deserve respect thanks,False,3281,8593,16,SEP,25,2016,gold star families made sacrifices us even fathom deserve respect thanks,[]
HillaryClinton,one living president said believe donald trump takes commander chief,False,7952,14148,15,SEP,25,2016,one living president said believe donald trump takes commander chief,[]
HillaryClinton,meet three women inspired hillary become person today,False,1765,5867,14,SEP,25,2016,meet three women inspired hillary become person today,[]
realDonaldTrump,looking forward meeting benjamin netanyahu trump tower,False,8533,31212,13,SEP,25,2016,looking forward meeting benjamin netanyahu trump tower,[]
HillaryClinton,endorsement rooted respect intellect experience toughness courage hillary,False,3246,7907,13,SEP,25,2016,endorsement rooted respect intellect experience toughness courage hillary,[]
realDonaldTrump,bernie sanders gave hillary dem nomination gave e mails issue gotten bigger,False,8490,26708,13,SEP,25,2016,bernie sanders gave hillary dem nomination gave e mails issue gotten bigger,[]
realDonaldTrump,many team staff bernie sanders treated badly hillary clinton campaign like trump trade lot,False,8572,28770,12,SEP,25,2016,many team staff bernie sanders treated badly hillary clinton campaign like trump trade lot,[]
HillaryClinton,new overdue tribute african american history let build open inclusive future reflecting past h,False,3487,11181,23,SEP,24,2016,new overdue tribute african american history let build open inclusive future reflecting past h,[]
realDonaldTrump,thank roanoke virginia movement join us today sign,False,6424,20699,23,SEP,24,2016,thank roanoke virginia movement join us today sign,[]
HillaryClinton,choice hillary clinton record service raft pragmatic ideas endorsing hillary,False,2314,5977,22,SEP,24,2016,choice hillary clinton record service raft pragmatic ideas endorsing hillary,[]
HillaryClinton,thought woman want ride roxie republican small business owner meeting hillary,False,4796,11582,21,SEP,24,2016,thought woman want ride roxie republican small business owner meeting hillary,[]
HillaryClinton,hillary fighting women girls entire career getting started,False,3063,7546,21,SEP,24,2016,hillary fighting women girls entire career getting started,[]
HillaryClinton,lifetime commitment solving problems real world qualifies hillary clinton job,False,3454,8113,19,SEP,24,2016,lifetime commitment solving problems real world qualifies hillary clinton job,[]
HillaryClinton,know well donald trump let make sure never becomes president,False,4003,9250,18,SEP,24,2016,know well donald trump let make sure never becomes president,[]
HillaryClinton,rt believe make sure registered vote,False,5254,7252,17,SEP,24,2016,rt believe make sure registered vote,[]
realDonaldTrump,dopey mark cuban failed benefactor fame wants sit front row perhaps put gennifer flowers right alongside,False,31655,67133,17,SEP,24,2016,dopey mark cuban failed benefactor fame wants sit front row perhaps put gennifer flowers right alongside,[]
HillaryClinton,nyt editorial board endorses hillary clinton president,True,4585,8232,16,SEP,24,2016,nyt editorial board endorses hillary clinton president,[]
HillaryClinton,donald trump see people like anastasia sees disability,False,3907,8181,15,SEP,24,2016,donald trump see people like anastasia sees disability,[]
realDonaldTrump,back virginia tonight pm rally berglund center roanoke join tickets,False,4765,16323,14,SEP,24,2016,back virginia tonight pm rally berglund center roanoke join tickets,[]
realDonaldTrump,trump headed win says professor predicted years presidential outcomes,False,10001,24962,12,SEP,24,2016,trump headed win says professor predicted years presidential outcomes,[]
